City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,jiazi,22.8779,116.067,295.74,82,98,5.12,CN,1698613692
298,prince rupert,54.3161,-130.3201,279.2,77,0,1.54,CA,1698613514
299,alofi,-19.0595,-169.9187,297.02,84,100,10.19,NU,1698613693
300,ust-tsilma,65.441,52.1498,267.38,79,100,4.02,RU,1698613695
301,la paz,-16.5,-68.15,290.5,18,31,4.26,BO,1698613677
302,mugia,43.1041,-9.2179,286.02,73,100,8.68,ES,1698613698
303,hobyo,5.3505,48.5268,297.66,93,100,2.77,SO,1698613626
304,coahuayana de hidalgo,18.7,-103.6583,303.19,69,97,2.99,MX,1698613699
305,timbuktu,16.7735,-3.0074,305.12,9,27,2.29,ML,1698613707
306,cururupu,-1.8283,-44.8683,299.49,73,66,2.15,BR,1698613471
307,harpswell center,43.8018,-69.9842,281.06,80,100,0.59,US,1698613709
308,tommot,58.9564,126.2925,262.44,98,100,0.72,RU,1698613523
309,laguna salada,19.6483,-71.0945,304.16,71,99,0.45,DO,1698613711
310,akureyri,65.6835,-18.0878,268.11,93,0,2.06,IS,1698613509
311,vila velha,-20.3297,-40.2925,299.12,78,0,10.29,BR,1698613566
312,preobrazheniye,42.9019,133.9064,279.38,52,10,3.04,RU,1698613714
313,smithers,54.7804,-127.1743,271.33,69,75,2.06,CA,1698613260
314,kota kinabalu,5.9749,116.0724,299.14,89,20,2.24,MY,1698613609
315,four corners,28.3329,-81.6474,303.16,59,0,3.13,US,1698613716
316,porto novo,6.4965,2.6036,299.41,86,99,1.38,BJ,1698613717
317,kavieng,-2.5744,150.7967,299.32,86,100,6.39,PG,1698613718
318,flinders view,-27.6505,152.7745,293.12,2,1,1.23,AU,1698613719
319,nowshahr,36.649,51.496,295.01,70,32,4.93,IR,1698613720
320,kamareddi,18.3167,78.35,292.61,68,0,0.56,IN,1698613720
321,puerto aysen,-45.4,-72.7,278.45,90,99,1.41,CL,1698613721
322,karratha,-20.7377,116.8463,299.64,69,99,2.98,AU,1698613537
323,tilcara,-23.5776,-65.3509,291.87,18,1,0.68,AR,1698613723
324,palmas,-10.2128,-48.3603,304.08,62,40,3.09,BR,1698613724
325,glenfield park,-35.1372,147.334,290.57,28,100,4.12,AU,1698613726
326,lugovoy,42.9472,72.7644,289.67,41,100,2.93,KZ,1698613726
327,princeville,45.7668,-61.2985,280.51,75,100,6.69,CA,1698613474
328,toamasina,-18.1667,49.3833,296.15,94,40,1.03,MG,1698613728
329,oltinko'l,40.8011,72.1634,291.71,36,91,1.87,UZ,1698613729
330,georgetown,5.4112,100.3354,298.72,94,20,0.0,MY,1698613730
331,waterford,42.7023,-83.4027,282.19,74,100,3.6,US,1698613536
332,jindabyne,-36.4167,148.6333,288.55,38,83,5.23,AU,1698613732
333,armacao de buzios,-22.7469,-41.8817,301.24,84,76,10.11,BR,1698613450
334,kuanda,56.3161,116.0806,262.23,58,21,1.01,RU,1698613483
335,marsabit,2.3284,37.9899,291.88,79,69,1.63,KE,1698613734
336,merano,46.6682,11.1595,286.68,99,100,1.47,IT,1698613735
337,mount pearl,47.5166,-52.7813,279.44,70,75,10.29,CA,1698613499
338,howrah,22.5892,88.3103,296.15,88,20,1.54,IN,1698613737
339,minas de marcona,-15.2119,-75.1103,298.55,45,57,4.21,PE,1698613479
340,subaykhan,34.8544,40.6083,300.8,29,100,3.7,SY,1698613739
341,vila franca do campo,37.7167,-25.4333,288.38,99,49,3.13,PT,1698613739
342,bom jardim,-7.7958,-35.5872,296.48,67,83,5.44,BR,1698613740
343,chitipa,-9.7024,33.2697,294.91,53,78,2.16,MW,1698613741
344,port blair,11.6667,92.75,299.96,80,96,0.32,IN,1698613742
345,horta,38.5333,-28.6333,288.95,67,75,2.06,PT,1698613743
346,medicine hat,50.0501,-110.6683,272.71,69,33,1.79,CA,1698613740
347,sai buri,6.7013,101.6168,298.08,87,85,1.5,TH,1698613744
348,sao jose da coroa grande,-8.8978,-35.1478,297.74,75,100,4.37,BR,1698613745
349,tadine,-21.55,167.8833,294.85,57,17,5.14,NC,1698613746
350,greymouth,-42.4667,171.2,286.88,47,77,1.16,NZ,1698613747
351,dunedin,-45.8742,170.5036,288.75,46,67,1.57,NZ,1698613748
352,bondoukou,8.0333,-2.8,298.55,68,2,0.96,CI,1698613749
353,wielun,51.221,18.5696,286.65,76,93,7.54,PL,1698613685
354,harper,4.375,-7.7169,299.11,87,0,2.93,LR,1698613750
355,vilyuchinsk,52.9306,158.4028,277.0,79,90,2.13,RU,1698613751
356,luderitz,-26.6481,15.1594,294.69,34,0,5.67,NA,1698613752
357,boyolangu,-8.1181,111.8935,296.61,93,80,1.09,ID,1698613754
358,toliara,-23.35,43.6667,296.19,76,0,2.79,MG,1698613755
359,formosa,-26.1775,-58.1781,307.14,62,0,1.54,AR,1698613756
